type,ambient_temperature,battery_id_x,Capacity,Voltage_measured,Current_measured,Temperature_measured,Time,Predicted_Capacity
discharge,4,B0047,1.5243662105099025,3.4765588189090355,-0.9838885014038207,8.210715424489036,2815.872543123543,1.5208921286630197
discharge,4,B0047,1.5080762969973425,3.4707669643372343,-0.9838892612061609,7.954455063989402,2786.4199433962267,1.5087884359772976
discharge,4,B0047,1.4835577960067696,3.4675514337042928,-0.9789465319710106,7.985864710265717,2761.85884725537,1.4881722284419099
discharge,4,B0047,1.4671391666146525,3.4628386272032645,-0.9762620303137102,8.009426990342208,2739.4814361445783,1.4667238722612863
discharge,4,B0047,1.448858156982267,3.4591836330966035,-0.971168129982195,8.033626730077737,2720.7160437956204,1.4506711023552867
discharge,4,B0047,1.4458534180949325,3.440865649757287,-0.970933467028425,8.150799939416203,2715.7035574572124,1.4435875294115288
discharge,4,B0047,1.431118266178283,3.44810227661685,-0.9610547420763002,8.230899786348077,2723.474865525672,1.4365320484711726
discharge,4,B0047,1.419274551657853,3.4496654644975946,-0.9582923588349713,8.146945225413083,2695.564762376238,1.4220961545880981
discharge,4,B0047,1.3999974221808271,3.4449123724079613,-0.9553719838321842,8.251894856354932,2674.5519975,1.398564181550521
discharge,4,B0047,1.3885156686114437,3.4418308643708455,-0.9527836491780217,8.23497518866995,2652.8865732323234,1.3908895928773395
discharge,4,B0047,1.3652234669528964,3.434468178084287,-0.949814677088373,8.269239827690175,2639.103231552163,1.3715980582186071
discharge,4,B0047,1.4060442272970963,3.430115214310407,-0.962374774611937,8.236583239584068,2673.9140604534005,1.4066099007590085
discharge,4,B0047,1.405754161352578,3.442078085056046,-0.9528782892582865,8.16126508624072,2692.679270676692,1.4045054247183
discharge,4,B0047,1.3867662881727878,3.4424678812268272,-0.949763883381583,8.25301239256121,2666.0419365482235,1.3914452553992425
discharge,4,B0047,1.3705053061420225,3.4338551425476287,-0.9517106306260905,8.291638340695691,2629.934721649485,1.3724338343207092
discharge,4,B0047,1.34974311148236,3.4327517306039357,-0.9434304652541514,8.318107121376222,2613.1808467532464,1.3508758566596155
discharge,4,B0047,1.3251533367939785,3.4273855541261473,-0.9400482502771171,8.303021352537922,2590.9035736842106,1.329582170888828
discharge,4,B0047,1.3111943869635805,3.4184685184601045,-0.9371553622323054,8.326013975279082,2570.928954787234,1.3163421912909476
discharge,4,B0047,0.0,3.650724657383404,-0.9839651386620408,7.192903163731922,1189.2688514285715,0.007989997927037012
discharge,4,B0047,1.3394234405932892,3.4156755122328173,-0.9234823229846594,8.388106987601862,2658.5673350515467,1.3442456456891363
discharge,4,B0047,1.2849157142560723,3.4189443106786306,-0.930472095057463,8.304841644444153,2540.4714054054057,1.289052610204895
discharge,4,B0047,1.281719159327807,3.4147835574863517,-0.9322821459755778,8.319029412369582,2514.6951260273972,1.2797670263643284
discharge,4,B0047,1.2600051642942829,3.409591730169167,-0.9267897523084676,8.401755924951388,2503.266038567493,1.2599764922984127
discharge,4,B0047,1.266070385993126,3.407645240350967,-0.9316504925123938,8.395347720509116,2487.028291666667,1.2668037762166002
discharge,4,B0047,1.2413590294280803,3.4072011151948276,-0.9255669375549473,8.419292173692186,2470.178705882353,1.2476594513475465
discharge,4,B0047,1.2298873703485311,3.402851724115477,-0.9273633082574366,8.293327119939335,2442.9931022727274,1.2514404852640952
discharge,4,B0047,1.228088614506696,3.398740761774466,-0.926782890275335,8.49190236531868,2433.946065714286,1.2294381649486499
discharge,4,B0047,1.2139857189070042,3.3945066004903923,-0.9236824517720293,8.437149776270967,2421.7827442528737,1.2172114629756434
discharge,4,B0047,1.2173435064564189,3.39192930556013,-0.9289085100178415,8.429621946088574,2407.7195304347824,1.2210411938152077
discharge,4,B0047,1.2073445944515917,3.3912898067299198,-0.9282275865985665,8.46306110156025,2390.6448538011696,1.2134791624189203
